doc,sentence
6,"acquire and maintain expert knowledge of funder mandates on research data. and compliance criteria, and provide advice to researchers on data. management and sharing requirements."
6,monitor rdm policy compliance using the research information system pure. with specific responsibility for some schools.
6,contact researchers to. deposit research data if they have not already done so.
6,quantitative reporting on research data compliance.
6,support and assist with. the preparation of figures and reports for compliance monitoring.
6,"manage the recording of statistics from pure on datasets deposits, datasets. downloads, file sizes and other relevant figures. ."
6,jisc research data shared service project.
6,assist with the organisation of regular project meetings.
6,take and distribute project meetings minutes.
6,assist with maintaining the project documentation library. . .
6,"please note that this job description is not exhaustive, and the role. holder may be required to undertake other relevant duties commensurate with. the grading of the post."
6,activities may be subject to amendment over time. as the role develops and or priorities and requirements evolve. .
6,person specification . .
6,"this section details the attributes e.g. skills, knowledge qualifications. and competencies which are required in order to undertake the full remit of. this post. . ."
6,attributes.
6,essential.
6,desirable.
6,"means of assessment. (i.e. application form, interview, test, presentation etc.). . ."
6,"education and qualifications. . (technical, professional, academic qualifications and training required). ."
6,degree equivalent professional qualification.
6,or.
6,equivalent work experience. . . .
6,application. .
6,experience and knowledge. . (examples of specific experience and knowledge sought). .
6,knowledge of the academic research process. .
6,awareness of the open research environment. .
6,experience of preparing reports for a variety of audiences. .
6,experience of team working.
6,"knowledge of external (funder, publisher) policies affecting research data. management within uk hei. ."
6,experience of working in support service role at hei or experience of. working in a research environment. .
6,"knowledge and experience of research methodologies, and particularly. creating managing or publishing research data. ."
6,working knowledge of the research publication process. .
6,experience of using pure cris as an end user or in an administrative role. .
6,application.
6,interview. .
6,"competencies and skills. . (e.g. effective communication skills, initiative, flexibility, leadership. etc.). ."
6,able to manipulate data in excel. .
6,"high degree of attention to detail, accuracy. ."
6,ability to work alone and as part of a team. .
6,ability to work under pressure to targets and deadlines. .
6,ability to plan and organize work and prioritise conflicting demands. .
6,ability to demonstrate problem solving skills. .
6,excellent interpersonal and communication skills both written and oral. . .
6,customer service skills. .
6,"webpage creation, desktop publishing experience, knowledge of digital. formats."
6,application.
6,interview.
6,test. . .
6,essential criteria – requirements without which a candidate would not be. able to undertake the full remit of the role.
6,applicants who have not. clearly demonstrated in their application that they possess the essential. requirements will normally be rejected at the short listing stage. .
6,desirable criteria – requirements which would be useful for the candidate. to hold.
6,"when short listing, these criteria will be considered when more. than one applicant meets the essential requirements. . ."
6,other information . .
6,interviews will be held on thursday 27 september 2018. .
6,"we encourage applicants to apply online at www.vacancies.st-. andrews.ac.uk welcome.aspx, however if you are unable to do this, please. call +44 (0)1334 462571 for a paper application form. ."
6,"for all applications, please quote ref ad1671as. ."
6,this role does not meet the minimum requirements set by the ukvi to enable. sponsorship of migrant workers.
6,further information can be found at. https www.st-andrews.ac.uk staff policy immigration . .
6,"the university of st andrews is committed to promoting equality of. opportunity for all, which is further demonstrated through its working on. the gender and race equality charters and being awarded the athena swan. award for women in science, hr excellence in research award and the lgbt."
6,charter; http www.st-andrews.ac.uk hr edi diversityawards . . .
6,the university is committed to equality of opportunity. .
6,the university of st andrews is a charity registered in scotland (no.
6,sc013532). .
6,obligations as an employee . .
6,you have a duty to carry out your work in a safe manner in order not to. endanger yourself or anyone else by your acts or omissions. .
6,"you are required to comply with the university health and safety policy as. it relates to your work activities, and to take appropriate action in case. of an emergency. ."
6,you are required to undertake the information security essentials computer-. based training course and adhere to its principles alongside related.
6,university policy and regulations. .
6,you are responsible for applying the university’s equality and diversity. policies and principles in your own area of responsibility and in your. general conduct. .
6,you have a responsibility to promote high levels of customer care within. your own area of work activities. .
6,"you should be adaptable to change, and be willing to acquire new skills and. knowledge as applicable to the needs of the role. ."
6,"you may, with reasonable notice, be required to work within other."
6,schools units within the university of st andrews. .
6,you have the responsibility to engage with the university’s commitment to.
6,"environmental sustainability in order to reduce its waste, energy. consumption and carbon footprint. . ."
6,the university and town . .
6,"founded in the early 15th century, st andrews is scotland’s first. university and the third oldest in the english speaking world. ."
6,"situated on the east coast of scotland and framed by countryside, beaches. and cliffs, the town of st andrews was once the centre of the nation’s. political and religious life. ."
6,today it is known around the world as the ‘home of golf’ and a vibrant. academic town with a distinctively cosmopolitan feel where students and. university staff account for more than 40% of the local population. .
6,"the university of st andrews is a diverse and international community of. over 11,000, comprising students and staff of over 120 nationalities."
6,"it. has 8,800 students, just over 7,000 of them undergraduates, and employs. approximately 2,540 staff - made up of c. 1,190 in the academic job. families and c 1,350 in the non-academic job families. ."
6,"st andrews has approximately 50,000 living graduates, among them former."
6,scottish first minister alex salmond and the novelist fay weldon.
6,"in the. last 90 years, the university has conferred around 1000 honorary degrees;. notable recipients include benjamin franklin, rudyard kipling, alexander."
6,"fleming, iris murdoch, james black, elizabeth blackadder, tim berners-lee. and hillary clinton. ."
6,the university is one of europe’s most research intensive seats of. learning.
6,it is the top rated university in scotland for teaching quality. and student satisfaction.
6,in the research excellence framework (ref) 2014. the university was ranked top in scotland for quality of research output. and one of the uk’s top 20 research universities. .
6,st andrews is consistently held to be one of the united kingdom’s top ten. universities in university league tables compiled by the times and the.
6,"sunday times, the guardian and the complete university guide."
6,the.
6,"university has eight times been named the top multi-faculty university in. the uk in the national student survey – a direct reflection of the quality. of teaching, assessment and facilities."
6,in international and world rankings.
6,"st andrews scores highly for teaching quality, research, international. outlook and citations."
6,it is established as a world top 100 institution in. annual rankings produced by qs and times higher education. .
6,"its international reputation for delivering high quality teaching and. research and student satisfaction make it one of the most sought after. destinations for prospective students from the uk, europe and overseas."
6,in. 2015 the university received on average 12 applications per place.
6,st.
6,"andrews has highly challenging academic entry requirements to attract only. the most academically potent students in the arts, sciences, medicine and."
6,divinity. .
6,the university is closely integrated with the town.
6,"the main library, many. academic schools and service units are located centrally, while the growth. in research-active sciences and medicine has been accommodated at the north."
6,haugh on the western edge of st andrews. .
6,"as the university enters its seventh century, it is delivering a varied. programme of strategic investment, including the refurbishment of its main."
6,"library and a major investment in its collections, the opening of a. research library, the development of a major arts centre and a music."
6,"centre, the refurbishment of the students’ union, the provision of 900. additional students beds, the relocation of professional services to. purpose built accommodation and the development of a wind-farm and green. energy centre to offset energy costs."
